;;Saumweg 2;Nov 21;01.11.2021;(bitte den ersten des Monats eingeben);;;;;
;;SW Aalen;;Max;100;%;;;;
;;;;Min;0;%;;;;
;;;;Max Differenz;100;%;;;;
;;;;;;;;;;
;;BHKW Vorrang;BHKW Vorrang;BHKW Vorrang;BHKW Nachrang;BHKW Nachrang;BHKW Nachrang;Gaskessel;Gaskessel;Gaskessel
;;Leistung;Anforderung;Sperrung;Leistung;Anforderung;Sperrung;Leistung;Anforderung;Sperrung
;;0-100;1=Ein 0=aus;1=Ein 0=aus;0-100;1=Ein 0=aus;1=Ein 0=aus;0-100;1=Ein 0=aus;1=Ein 0=aus
;;MW2121;MW2124;MW2135;MW2122;MW2125;MW2136;MW2123;MW2126;MW2137
;;%;;;%;;;%;;
16.11.2021;00:15;100;1;0;100;1;0;0;0;0
16.11.2021;00:30;100;1;0;100;1;0;0;0;0
16.11.2021;00:45;100;1;0;100;1;0;0;0;0
16.11.2021;01:00;100;1;0;100;1;0;0;0;0
16.11.2021;01:15;100;1;0;100;1;0;0;0;0
16.11.2021;01:30;100;1;0;100;1;0;0;0;0
16.11.2021;01:45;100;1;0;100;1;0;0;0;0
16.11.2021;02:00;100;1;0;100;1;0;0;0;0
16.11.2021;02:15;100;1;0;100;1;0;0;0;0
16.11.2021;02:30;100;1;0;100;1;0;0;0;0
16.11.2021;02:45;100;1;0;100;1;0;0;0;0
16.11.2021;03:00;100;1;0;100;1;0;0;0;0
16.11.2021;03:15;100;1;0;100;1;0;0;0;0
16.11.2021;03:30;100;1;0;100;1;0;0;0;0
16.11.2021;03:45;100;1;0;100;1;0;0;0;0
16.11.2021;04:00;100;1;0;100;1;0;0;0;0
16.11.2021;04:15;100;1;0;100;1;0;0;0;0
16.11.2021;04:30;100;1;0;100;1;0;0;0;0
16.11.2021;04:45;100;1;0;100;1;0;0;0;0
16.11.2021;05:00;100;1;0;100;1;0;0;0;0
16.11.2021;05:15;100;1;0;100;1;0;0;0;0
16.11.2021;05:30;100;1;0;100;1;0;0;0;0
16.11.2021;05:45;100;1;0;100;1;0;0;0;0
16.11.2021;06:00;100;1;0;100;1;0;0;0;0
16.11.2021;06:15;100;1;0;100;1;0;0;0;0
16.11.2021;06:30;100;1;0;100;1;0;0;0;0
16.11.2021;06:45;100;1;0;100;1;0;0;0;0
16.11.2021;07:00;100;1;0;100;1;0;0;0;0
16.11.2021;07:15;100;1;0;100;1;0;0;0;0
16.11.2021;07:30;100;1;0;100;1;0;0;0;0
16.11.2021;07:45;100;1;0;100;1;0;0;0;0
16.11.2021;08:00;100;1;0;100;1;0;0;0;0
16.11.2021;08:15;100;1;0;100;1;0;0;0;0
16.11.2021;08:30;100;1;0;100;1;0;0;0;0
16.11.2021;08:45;100;1;0;100;1;0;0;0;0
16.11.2021;09:00;100;1;0;100;1;0;0;0;0
16.11.2021;09:15;100;1;0;100;1;0;0;0;0
16.11.2021;09:30;100;1;0;100;1;0;0;0;0
16.11.2021;09:45;100;1;0;100;1;0;0;0;0
16.11.2021;10:00;100;1;0;100;1;0;0;0;0
16.11.2021;10:15;100;1;0;100;1;0;0;0;0
16.11.2021;10:30;100;1;0;100;1;0;0;0;0
16.11.2021;10:45;100;1;0;100;1;0;0;0;0
16.11.2021;11:00;100;1;0;100;1;0;0;0;0
16.11.2021;11:15;100;1;0;100;1;0;0;0;0
16.11.2021;11:30;100;1;0;100;1;0;0;0;0
16.11.2021;11:45;100;1;0;100;1;0;0;0;0
16.11.2021;12:00;100;1;0;100;1;0;0;0;0
16.11.2021;12:15;100;1;0;100;1;0;0;0;0
16.11.2021;12:30;100;1;0;100;1;0;0;0;0
16.11.2021;12:45;100;1;0;100;1;0;0;0;0
16.11.2021;13:00;100;1;0;100;1;0;0;0;0
16.11.2021;13:15;100;1;0;100;1;0;0;0;0
16.11.2021;13:30;100;1;0;100;1;0;0;0;0
16.11.2021;13:45;100;1;0;100;1;0;0;0;0
16.11.2021;14:00;100;1;0;100;1;0;0;0;0
16.11.2021;14:15;100;1;0;100;1;0;0;0;0
16.11.2021;14:30;100;1;0;100;1;0;0;0;0
16.11.2021;14:45;100;1;0;100;1;0;0;0;0
16.11.2021;15:00;100;1;0;100;1;0;0;0;0
16.11.2021;15:15;100;1;0;100;1;0;0;0;0
16.11.2021;15:30;100;1;0;100;1;0;0;0;0
16.11.2021;15:45;100;1;0;100;1;0;0;0;0
16.11.2021;16:00;100;1;0;100;1;0;0;0;0
16.11.2021;16:15;100;1;0;100;1;0;0;0;0
16.11.2021;16:30;100;1;0;100;1;0;0;0;0
16.11.2021;16:45;100;1;0;100;1;0;0;0;0
16.11.2021;17:00;100;1;0;100;1;0;0;0;0
16.11.2021;17:15;100;1;0;100;1;0;0;0;0
16.11.2021;17:30;100;1;0;100;1;0;0;0;0
16.11.2021;17:45;100;1;0;100;1;0;0;0;0
16.11.2021;18:00;100;1;0;100;1;0;0;0;0
16.11.2021;18:15;100;1;0;100;1;0;0;0;0
16.11.2021;18:30;100;1;0;100;1;0;0;0;0
16.11.2021;18:45;100;1;0;100;1;0;0;0;0
16.11.2021;19:00;100;1;0;100;1;0;0;0;0
16.11.2021;19:15;100;1;0;100;1;0;0;0;0
16.11.2021;19:30;100;1;0;100;1;0;0;0;0
16.11.2021;19:45;100;1;0;100;1;0;0;0;0
16.11.2021;20:00;100;1;0;100;1;0;0;0;0
16.11.2021;20:15;100;1;0;100;1;0;0;0;0
16.11.2021;20:30;100;1;0;100;1;0;0;0;0
16.11.2021;20:45;100;1;0;100;1;0;0;0;0
16.11.2021;21:00;100;1;0;100;1;0;0;0;0
16.11.2021;21:15;100;1;0;100;1;0;0;0;0
16.11.2021;21:30;100;1;0;100;1;0;0;0;0
16.11.2021;21:45;100;1;0;100;1;0;0;0;0
16.11.2021;22:00;100;1;0;100;1;0;0;0;0
16.11.2021;22:15;100;1;0;100;1;0;0;0;0
16.11.2021;22:30;100;1;0;100;1;0;0;0;0
16.11.2021;22:45;100;1;0;100;1;0;0;0;0
16.11.2021;23:00;100;1;0;100;1;0;0;0;0
16.11.2021;23:15;100;1;0;100;1;0;0;0;0
16.11.2021;23:30;100;1;0;100;1;0;0;0;0
16.11.2021;23:45;100;1;0;100;1;0;0;0;0
17.11.2021;00:00;100;1;0;100;1;0;0;0;0
17.11.2021;00:15;100;1;0;100;1;0;0;0;0
17.11.2021;00:30;100;1;0;100;1;0;0;0;0
